QR_ID,Vendor_Code,Vendor_Name,Lot_Number,Date_of_Manufacture,Warranty_Expiry,Num_Inspections,Inspection_Records,In_Service_Failure,Failure_Date,Track_Section
QR0011,V004,Bharat Forge,LOT7543,2024-10-02,2027-10-02,3,"[{'date': datetime.date(2025, 6, 2), 'result': 'Fail', 'wear': np.float64(4.42)}, {'date': datetime.date(2025, 4, 13), 'result': 'Pass', 'wear': np.float64(23.23)}, {'date': datetime.date(2025, 4, 2), 'result': 'Pass', 'wear': np.float64(2.79)}]",No,,Heavy Load Zone
QR0012,V002,Jindal Rail Infra,LOT3621,2025-01-15,2030-01-15,2,"[{'date': datetime.date(2025, 7, 10), 'result': 'Pass', 'wear': np.float64(17.09)}, {'date': datetime.date(2025, 3, 13), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Hilly Terrain
QR0013,V005,Reliance Infra,LOT1188,2024-04-08,2025-04-08,4,"[{'date': datetime.date(2025, 7, 12), 'result': 'Pass', 'wear': np.float64(1.72)}, {'date': datetime.date(2024, 4, 8), 'result': 'Pass', 'wear': np.float64(16.97)}, {'date': datetime.date(2025, 9, 2), 'result': 'Pass', 'wear': np.float64(22.38)}, {'date': datetime.date(2025, 8, 5), 'result': 'Pass', 'wear': np.float64(16.71)}]",Yes,2025-02-15,Hilly Terrain
QR0014,V005,Reliance Infra,LOT3927,2025-02-21,2026-02-21,4,"[{'date': datetime.date(2025, 5, 20), 'result': 'Pass', 'wear': np.float64(13.84)}, {'date': datetime.date(2025, 7, 31), 'result': 'Pass', 'wear': np.float64(11.99)}, {'date': datetime.date(2025, 7, 28), 'result': 'Pass', 'wear': np.float64(0.21)}, {'date': datetime.date(2025, 6, 29), 'result': 'Pass', 'wear': np.float64(7.8)}]",No,,Plain
QR0015,V001,Tata Steel,LOT6310,2024-09-25,2029-09-25,2,"[{'date': datetime.date(2025, 6, 20), 'result': 'Pass', 'wear': np.float64(10.39)}, {'date': datetime.date(2025, 5, 17), 'result': 'Pass', 'wear': np.float64(25.57)}]",No,,Hilly Terrain
QR0016,V002,Jindal Rail Infra,LOT1949,2024-07-19,2026-07-19,2,"[{'date': datetime.date(2025, 1, 29), 'result': 'Pass', 'wear': np.float64(18.44)}, {'date': datetime.date(2024, 11, 15), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Plain
QR0017,V002,Jindal Rail Infra,LOT3103,2025-04-08,2030-04-08,3,"[{'date': datetime.date(2025, 9, 4), 'result': 'Pass', 'wear': np.float64(18.24)}, {'date': datetime.date(2025, 7, 23), 'result': 'Pass', 'wear': np.float64(11.15)}, {'date': datetime.date(2025, 6, 16), 'result': 'Pass', 'wear': np.float64(8.23)}]",No,,Plain
QR0018,V002,Jindal Rail Infra,LOT6107,2024-04-27,2029-04-27,4,"[{'date': datetime.date(2024, 5, 9), 'result': 'Pass', 'wear': np.float64(21.12)}, {'date': datetime.date(2025, 7, 14), 'result': 'Pass', 'wear': np.float64(25.31)}, {'date': datetime.date(2024, 7, 8), 'result': 'Pass', 'wear': np.float64(24.31)}, {'date': datetime.date(2024, 10, 31), 'result': 'Pass', 'wear': np.float64(6.61)}]",No,,Plain
QR0019,V005,Reliance Infra,LOT4770,2025-05-12,2027-05-12,2,"[{'date': datetime.date(2025, 6, 19), 'result': 'Pass', 'wear': np.float64(11.91)}, {'date': datetime.date(2025, 7, 3), 'result': 'Pass', 'wear': np.float64(18.31)}]",No,,Heavy Load Zone
QR0020,V003,SAIL,LOT2160,2024-07-03,2026-07-03,4,"[{'date': datetime.date(2025, 5, 13), 'result': 'Pass', 'wear': np.float64(24.76)}, {'date': datetime.date(2025, 3, 30), 'result': 'Pass', 'wear': np.float64(10.21)}, {'date': datetime.date(2025, 6, 19), 'result': 'Pass', 'wear': np.float64(13.14)}, {'date': datetime.date(2025, 8, 30), 'result': 'Fail', 'wear': np.float64(3.94)}]",No,,Urban Metro
QR0021,V002,Jindal Rail Infra,LOT8749,2025-01-06,2030-01-06,3,"[{'date': datetime.date(2025, 2, 15), 'result': 'Pass', 'wear': np.float64(3.04)}, {'date': datetime.date(2025, 2, 18), 'result': 'Pass', 'wear': np.float64(23.13)}, {'date': datetime.date(2025, 2, 11), 'result': 'Pass', 'wear': np.float64(28.56)}]",No,,Heavy Load Zone
QR0022,V001,Tata Steel,LOT1993,2024-05-18,2029-05-18,4,"[{'date': datetime.date(2025, 3, 2), 'result': 'Pass', 'wear': np.float64(14.28)}, {'date': datetime.date(2025, 8, 28), 'result': 'Pass', 'wear': np.float64(25.04)}, {'date': datetime.date(2025, 3, 13), 'result': 'Pass', 'wear': np.float64(18.62)}, {'date': datetime.date(2024, 6, 16), 'result': 'Pass', 'wear': np.float64(8.55)}]",No,,Coastal Area
QR0023,V003,SAIL,LOT8579,2025-04-10,2027-04-10,2,"[{'date': datetime.date(2025, 6, 10), 'result': 'Pass', 'wear': np.float64(18.61)}, {'date': datetime.date(2025, 8, 22), 'result': 'Pass', 'wear': np.float64(30.38)}]",No,,Heavy Load Zone
QR0024,V005,Reliance Infra,LOT1241,2023-10-13,2024-10-13,3,"[{'date': datetime.date(2024, 12, 1), 'result': 'Pass', 'wear': np.float64(14.64)}, {'date': datetime.date(2025, 6, 20), 'result': 'Pass', 'wear': np.float64(30.65)}, {'date': datetime.date(2023, 10, 25), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Heavy Load Zone
QR0025,V002,Jindal Rail Infra,LOT7209,2024-05-07,2025-05-07,5,"[{'date': datetime.date(2024, 11, 16), 'result': 'Pass', 'wear': np.float64(23.22)}, {'date': datetime.date(2024, 7, 5), 'result': 'Pass', 'wear': np.float64(15.87)}, {'date': datetime.date(2024, 5, 29), 'result': 'Pass', 'wear': np.float64(12.01)}, {'date': datetime.date(2025, 4, 23), 'result': 'Pass', 'wear': np.float64(15.92)}, {'date': datetime.date(2025, 2, 14), 'result': 'Fail', 'wear': np.float64(0.0)}]",No,,Plain
QR0026,V004,Bharat Forge,LOT3536,2023-10-03,2025-10-03,4,"[{'date': datetime.date(2025, 2, 22), 'result': 'Pass', 'wear': np.float64(12.8)}, {'date': datetime.date(2024, 1, 12), 'result': 'Pass', 'wear': np.float64(18.57)}, {'date': datetime.date(2025, 4, 14), 'result': 'Pass', 'wear': np.float64(29.78)}, {'date': datetime.date(2023, 11, 17), 'result': 'Pass', 'wear': np.float64(9.82)}]",No,,Heavy Load Zone
QR0027,V005,Reliance Infra,LOT8811,2024-12-23,2026-12-23,2,"[{'date': datetime.date(2025, 2, 9), 'result': 'Fail', 'wear': np.float64(6.92)}, {'date': datetime.date(2025, 8, 18), 'result': 'Pass', 'wear': np.float64(9.98)}]",No,,Plain
QR0028,V001,Tata Steel,LOT4853,2025-07-09,2030-07-09,2,"[{'date': datetime.date(2025, 7, 10), 'result': 'Fail', 'wear': np.float64(24.15)}, {'date': datetime.date(2025, 7, 11), 'result': 'Pass', 'wear': np.float64(18.29)}]",No,,Heavy Load Zone
QR0029,V005,Reliance Infra,LOT2343,2023-12-25,2028-12-25,4,"[{'date': datetime.date(2024, 12, 20), 'result': 'Fail', 'wear': np.float64(9.7)}, {'date': datetime.date(2024, 2, 6), 'result': 'Pass', 'wear': np.float64(20.13)}, {'date': datetime.date(2024, 6, 6), 'result': 'Pass', 'wear': np.float64(15.97)}, {'date': datetime.date(2024, 5, 27), 'result': 'Pass', 'wear': np.float64(24.69)}]",No,,Hilly Terrain
QR0030,V004,Bharat Forge,LOT6180,2025-04-16,2026-04-16,2,"[{'date': datetime.date(2025, 8, 20), 'result': 'Pass', 'wear': np.float64(7.98)}, {'date': datetime.date(2025, 5, 3), 'result': 'Fail', 'wear': np.float64(11.72)}]",No,,Heavy Load Zone
QR0031,V005,Reliance Infra,LOT4492,2025-07-12,2028-07-12,3,"[{'date': datetime.date(2025, 8, 14), 'result': 'Fail', 'wear': np.float64(11.08)}, {'date': datetime.date(2025, 8, 2), 'result': 'Pass', 'wear': np.float64(0.36)}, {'date': datetime.date(2025, 9, 3), 'result': 'Pass', 'wear': np.float64(17.96)}]",No,,Coastal Area
QR0032,V004,Bharat Forge,LOT9900,2025-08-16,2028-08-16,2,"[{'date': datetime.date(2025, 8, 20), 'result': 'Pass', 'wear': np.float64(17.61)}, {'date': datetime.date(2025, 8, 16), 'result': 'Pass', 'wear': np.float64(15.05)}]",No,,Heavy Load Zone
QR0033,V002,Jindal Rail Infra,LOT5333,2024-07-01,2025-07-01,2,"[{'date': datetime.date(2025, 9, 5), 'result': 'Pass', 'wear': np.float64(12.65)}, {'date': datetime.date(2025, 8, 1), 'result': 'Pass', 'wear': np.float64(0.85)}]",No,,Coastal Area
QR0034,V003,SAIL,LOT4335,2023-11-26,2026-11-26,5,"[{'date': datetime.date(2024, 11, 8), 'result': 'Pass', 'wear': np.float64(10.79)}, {'date': datetime.date(2025, 1, 8), 'result': 'Fail', 'wear': np.float64(11.57)}, {'date': datetime.date(2024, 6, 6), 'result': 'Pass', 'wear': np.float64(6.98)}, {'date': datetime.date(2025, 3, 28), 'result': 'Pass', 'wear': np.float64(13.39)}, {'date': datetime.date(2025, 3, 3), 'result': 'Pass', 'wear': np.float64(19.04)}]",Yes,2025-08-16,Hilly Terrain
QR0035,V002,Jindal Rail Infra,LOT5291,2025-04-03,2027-04-03,5,"[{'date': datetime.date(2025, 5, 1), 'result': 'Pass', 'wear': np.float64(33.86)}, {'date': datetime.date(2025, 8, 25), 'result': 'Pass', 'wear': np.float64(16.75)}, {'date': datetime.date(2025, 5, 20), 'result': 'Pass', 'wear': np.float64(17.58)}, {'date': datetime.date(2025, 5, 3), 'result': 'Pass', 'wear': np.float64(14.26)}, {'date': datetime.date(2025, 6, 22), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Plain
QR0036,V001,Tata Steel,LOT7049,2024-08-14,2026-08-14,5,"[{'date': datetime.date(2025, 1, 18), 'result': 'Pass', 'wear': np.float64(14.73)}, {'date': datetime.date(2025, 7, 16), 'result': 'Pass', 'wear': np.float64(15.6)}, {'date': datetime.date(2025, 8, 1), 'result': 'Pass', 'wear': np.float64(39.63)}, {'date': datetime.date(2024, 9, 26), 'result': 'Pass', 'wear': np.float64(13.08)}, {'date': datetime.date(2024, 11, 7), 'result': 'Pass', 'wear': np.float64(18.02)}]",No,,Coastal Area
QR0037,V002,Jindal Rail Infra,LOT2684,2024-09-18,2027-09-18,5,"[{'date': datetime.date(2025, 3, 7), 'result': 'Fail', 'wear': np.float64(14.65)}, {'date': datetime.date(2025, 6, 16), 'result': 'Pass', 'wear': np.float64(3.31)}, {'date': datetime.date(2025, 4, 3), 'result': 'Fail', 'wear': np.float64(26.43)}, {'date': datetime.date(2025, 8, 20), 'result': 'Pass', 'wear': np.float64(22.52)}, {'date': datetime.date(2025, 7, 27), 'result': 'Pass', 'wear': np.float64(22.91)}]",No,,Coastal Area
QR0038,V004,Bharat Forge,LOT1406,2025-02-06,2027-02-06,4,"[{'date': datetime.date(2025, 2, 8), 'result': 'Pass', 'wear': np.float64(5.91)}, {'date': datetime.date(2025, 4, 6), 'result': 'Pass', 'wear': np.float64(29.03)}, {'date': datetime.date(2025, 3, 21), 'result': 'Pass', 'wear': np.float64(0.98)}, {'date': datetime.date(2025, 7, 8), 'result': 'Pass', 'wear': np.float64(20.87)}]",No,,Coastal Area
QR0039,V001,Tata Steel,LOT7267,2025-03-14,2026-03-14,5,"[{'date': datetime.date(2025, 6, 8), 'result': 'Pass', 'wear': np.float64(36.9)}, {'date': datetime.date(2025, 7, 20), 'result': 'Pass', 'wear': np.float64(5.09)}, {'date': datetime.date(2025, 6, 3), 'result': 'Pass', 'wear': np.float64(9.34)}, {'date': datetime.date(2025, 5, 10), 'result': 'Pass', 'wear': np.float64(16.0)}, {'date': datetime.date(2025, 3, 15), 'result': 'Pass', 'wear': np.float64(9.97)}]",No,,Heavy Load Zone
QR0040,V002,Jindal Rail Infra,LOT7528,2024-01-20,2027-01-20,4,"[{'date': datetime.date(2025, 4, 10), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2025, 8, 3), 'result': 'Fail', 'wear': np.float64(15.69)}, {'date': datetime.date(2024, 8, 24), 'result': 'Pass', 'wear': np.float64(4.38)}, {'date': datetime.date(2024, 8, 18), 'result': 'Pass', 'wear': np.float64(19.74)}]",No,,Plain
QR0041,V003,SAIL,LOT1452,2025-07-15,2026-07-15,4,"[{'date': datetime.date(2025, 7, 18), 'result': 'Pass', 'wear': np.float64(5.81)}, {'date': datetime.date(2025, 8, 8), 'result': 'Fail', 'wear': np.float64(30.5)}, {'date': datetime.date(2025, 7, 26), 'result': 'Pass', 'wear': np.float64(7.17)}, {'date': datetime.date(2025, 7, 31), 'result': 'Pass', 'wear': np.float64(11.78)}]",No,,Hilly Terrain
QR0042,V004,Bharat Forge,LOT9379,2023-09-28,2024-09-28,5,"[{'date': datetime.date(2024, 1, 5), 'result': 'Pass', 'wear': np.float64(23.14)}, {'date': datetime.date(2024, 2, 29), 'result': 'Pass', 'wear': np.float64(2.69)}, {'date': datetime.date(2024, 7, 21), 'result': 'Pass', 'wear': np.float64(17.27)}, {'date': datetime.date(2024, 6, 16), 'result': 'Pass', 'wear': np.float64(28.07)}, {'date': datetime.date(2024, 8, 16), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Coastal Area
QR0043,V003,SAIL,LOT8066,2024-12-28,2025-12-28,4,"[{'date': datetime.date(2025, 2, 19), 'result': 'Pass', 'wear': np.float64(16.85)}, {'date': datetime.date(2025, 5, 1), 'result': 'Pass', 'wear': np.float64(17.6)}, {'date': datetime.date(2025, 2, 23), 'result': 'Pass', 'wear': np.float64(22.82)}, {'date': datetime.date(2025, 6, 4), 'result': 'Fail', 'wear': np.float64(2.63)}]",No,,Urban Metro
QR0044,V003,SAIL,LOT7592,2024-07-24,2027-07-24,3,"[{'date': datetime.date(2025, 4, 14), 'result': 'Pass', 'wear': np.float64(1.8)}, {'date': datetime.date(2025, 4, 12), 'result': 'Pass', 'wear': np.float64(20.22)}, {'date': datetime.date(2024, 8, 1), 'result': 'Pass', 'wear': np.float64(17.97)}]",No,,Coastal Area
QR0045,V005,Reliance Infra,LOT5930,2024-01-27,2029-01-27,2,"[{'date': datetime.date(2025, 8, 3), 'result': 'Pass', 'wear': np.float64(17.5)}, {'date': datetime.date(2025, 1, 3), 'result': 'Pass', 'wear': np.float64(18.46)}]",No,,Plain
QR0046,V003,SAIL,LOT8618,2025-06-06,2030-06-06,5,"[{'date': datetime.date(2025, 8, 26), 'result': 'Pass', 'wear': np.float64(8.2)}, {'date': datetime.date(2025, 9, 5), 'result': 'Pass', 'wear': np.float64(17.32)}, {'date': datetime.date(2025, 8, 8), 'result': 'Pass', 'wear': np.float64(17.93)}, {'date': datetime.date(2025, 8, 29), 'result': 'Fail', 'wear': np.float64(7.86)}, {'date': datetime.date(2025, 8, 22), 'result': 'Pass', 'wear': np.float64(33.66)}]",No,,Hilly Terrain
QR0047,V005,Reliance Infra,LOT6491,2024-05-04,2025-05-04,3,"[{'date': datetime.date(2024, 5, 31), 'result': 'Pass', 'wear': np.float64(19.74)}, {'date': datetime.date(2025, 1, 1), 'result': 'Pass', 'wear': np.float64(3.09)}, {'date': datetime.date(2025, 8, 24), 'result': 'Pass', 'wear': np.float64(21.57)}]",Yes,2025-06-21,Coastal Area
QR0048,V004,Bharat Forge,LOT2193,2025-09-02,2030-09-02,5,"[{'date': datetime.date(2025, 9, 3), 'result': 'Pass', 'wear': np.float64(5.25)}, {'date': datetime.date(2025, 9, 2), 'result': 'Pass', 'wear': np.float64(22.87)}, {'date': datetime.date(2025, 9, 4), 'result': 'Pass', 'wear': np.float64(26.59)}, {'date': datetime.date(2025, 9, 4), 'result': 'Pass', 'wear': np.float64(6.79)}, {'date': datetime.date(2025, 9, 4), 'result': 'Pass', 'wear': np.float64(24.63)}]",No,,Heavy Load Zone
QR0049,V001,Tata Steel,LOT7965,2024-03-10,2026-03-10,3,"[{'date': datetime.date(2025, 4, 30), 'result': 'Pass', 'wear': np.float64(19.13)}, {'date': datetime.date(2025, 1, 17), 'result': 'Pass', 'wear': np.float64(23.22)}, {'date': datetime.date(2025, 7, 27), 'result': 'Pass', 'wear': np.float64(33.97)}]",No,,Heavy Load Zone
QR0050,V004,Bharat Forge,LOT3184,2024-10-08,2029-10-08,4,"[{'date': datetime.date(2025, 5, 28), 'result': 'Fail', 'wear': np.float64(12.55)}, {'date': datetime.date(2025, 8, 18), 'result': 'Pass', 'wear': np.float64(7.46)}, {'date': datetime.date(2025, 6, 16), 'result': 'Pass', 'wear': np.float64(6.1)}, {'date': datetime.date(2024, 12, 29), 'result': 'Pass', 'wear': np.float64(6.84)}]",No,,Plain
QR0051,V004,Bharat Forge,LOT3607,2024-04-19,2029-04-19,5,"[{'date': datetime.date(2024, 11, 10), 'result': 'Pass', 'wear': np.float64(14.23)}, {'date': datetime.date(2025, 1, 16), 'result': 'Pass', 'wear': np.float64(18.41)}, {'date': datetime.date(2025, 4, 25), 'result': 'Pass', 'wear': np.float64(17.77)}, {'date': datetime.date(2025, 5, 2), 'result': 'Pass', 'wear': np.float64(23.27)}, {'date': datetime.date(2025, 4, 12), 'result': 'Pass', 'wear': np.float64(15.13)}]",No,,Hilly Terrain
QR0052,V004,Bharat Forge,LOT2269,2024-02-09,2027-02-09,3,"[{'date': datetime.date(2024, 12, 7), 'result': 'Pass', 'wear': np.float64(29.54)}, {'date': datetime.date(2024, 7, 26), 'result': 'Pass', 'wear': np.float64(12.35)}, {'date': datetime.date(2025, 4, 8), 'result': 'Pass', 'wear': np.float64(42.2)}]",No,,Coastal Area
QR0053,V004,Bharat Forge,LOT3503,2025-08-18,2027-08-18,2,"[{'date': datetime.date(2025, 8, 28), 'result': 'Pass', 'wear': np.float64(21.26)}, {'date': datetime.date(2025, 8, 29), 'result': 'Pass', 'wear': np.float64(6.43)}]",No,,Heavy Load Zone
QR0054,V002,Jindal Rail Infra,LOT7883,2023-12-29,2028-12-29,2,"[{'date': datetime.date(2025, 8, 31), 'result': 'Pass', 'wear': np.float64(4.29)}, {'date': datetime.date(2024, 7, 16), 'result': 'Pass', 'wear': np.float64(19.82)}]",No,,Heavy Load Zone
QR0055,V003,SAIL,LOT5892,2023-09-17,2028-09-17,5,"[{'date': datetime.date(2023, 11, 6), 'result': 'Pass', 'wear': np.float64(12.77)}, {'date': datetime.date(2025, 6, 22), 'result': 'Pass', 'wear': np.float64(22.14)}, {'date': datetime.date(2023, 11, 18), 'result': 'Pass', 'wear': np.float64(19.73)}, {'date': datetime.date(2024, 3, 6), 'result': 'Pass', 'wear': np.float64(14.27)}, {'date': datetime.date(2024, 8, 30), 'result': 'Pass', 'wear': np.float64(6.53)}]",No,,Urban Metro
QR0056,V001,Tata Steel,LOT7371,2024-10-26,2027-10-26,5,"[{'date': datetime.date(2025, 4, 30), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2025, 1, 12), 'result': 'Pass', 'wear': np.float64(10.53)}, {'date': datetime.date(2025, 8, 3), 'result': 'Fail', 'wear': np.float64(23.56)}, {'date': datetime.date(2025, 1, 27), 'result': 'Fail', 'wear': np.float64(17.14)}, {'date': datetime.date(2025, 1, 10), 'result': 'Pass', 'wear': np.float64(2.54)}]",No,,Plain
QR0057,V005,Reliance Infra,LOT1444,2024-08-06,2025-08-06,5,"[{'date': datetime.date(2024, 11, 15), 'result': 'Pass', 'wear': np.float64(16.73)}, {'date': datetime.date(2025, 8, 8), 'result': 'Pass', 'wear': np.float64(18.85)}, {'date': datetime.date(2024, 9, 26), 'result': 'Pass', 'wear': np.float64(6.16)}, {'date': datetime.date(2025, 4, 15), 'result': 'Pass', 'wear': np.float64(16.54)}, {'date': datetime.date(2025, 2, 9), 'result': 'Pass', 'wear': np.float64(15.58)}]",No,,Urban Metro
QR0058,V003,SAIL,LOT7906,2024-12-07,2027-12-07,2,"[{'date': datetime.date(2025, 7, 31), 'result': 'Pass', 'wear': np.float64(3.57)}, {'date': datetime.date(2025, 1, 24), 'result': 'Pass', 'wear': np.float64(18.58)}]",No,,Hilly Terrain
QR0059,V002,Jindal Rail Infra,LOT2124,2023-12-31,2024-12-31,2,"[{'date': datetime.date(2025, 8, 3), 'result': 'Fail', 'wear': np.float64(20.61)}, {'date': datetime.date(2025, 3, 10), 'result': 'Pass', 'wear': np.float64(25.83)}]",Yes,2024-08-18,Coastal Area
QR0060,V002,Jindal Rail Infra,LOT3068,2024-08-07,2029-08-07,2,"[{'date': datetime.date(2024, 8, 25), 'result': 'Pass', 'wear': np.float64(25.54)}, {'date': datetime.date(2025, 4, 27), 'result': 'Pass', 'wear': np.float64(1.22)}]",No,,Hilly Terrain
QR0061,V002,Jindal Rail Infra,LOT2876,2025-05-07,2027-05-07,4,"[{'date': datetime.date(2025, 6, 8), 'result': 'Pass', 'wear': np.float64(5.62)}, {'date': datetime.date(2025, 6, 15), 'result': 'Pass', 'wear': np.float64(20.15)}, {'date': datetime.date(2025, 5, 7), 'result': 'Pass', 'wear': np.float64(20.14)}, {'date': datetime.date(2025, 9, 2), 'result': 'Pass', 'wear': np.float64(20.15)}]",No,,Urban Metro
QR0062,V002,Jindal Rail Infra,LOT2245,2023-11-17,2025-11-17,2,"[{'date': datetime.date(2024, 2, 29), 'result': 'Pass', 'wear': np.float64(53.53)}, {'date': datetime.date(2025, 8, 8), 'result': 'Pass', 'wear': np.float64(20.71)}]",No,,Heavy Load Zone
QR0063,V005,Reliance Infra,LOT1672,2024-08-13,2027-08-13,5,"[{'date': datetime.date(2025, 2, 1), 'result': 'Pass', 'wear': np.float64(26.36)}, {'date': datetime.date(2024, 9, 18), 'result': 'Pass', 'wear': np.float64(24.54)}, {'date': datetime.date(2024, 12, 10), 'result': 'Pass', 'wear': np.float64(21.51)}, {'date': datetime.date(2025, 1, 14), 'result': 'Pass', 'wear': np.float64(11.85)}, {'date': datetime.date(2025, 8, 28), 'result': 'Pass', 'wear': np.float64(22.59)}]",No,,Urban Metro
QR0064,V003,SAIL,LOT8532,2024-11-28,2026-11-28,5,"[{'date': datetime.date(2025, 7, 1), 'result': 'Pass', 'wear': np.float64(7.27)}, {'date': datetime.date(2025, 3, 11), 'result': 'Pass', 'wear': np.float64(12.63)}, {'date': datetime.date(2025, 4, 28), 'result': 'Pass', 'wear': np.float64(10.15)}, {'date': datetime.date(2025, 8, 16), 'result': 'Pass', 'wear': np.float64(15.82)}, {'date': datetime.date(2025, 5, 31), 'result': 'Fail', 'wear': np.float64(38.15)}]",No,,Urban Metro
QR0065,V004,Bharat Forge,LOT5397,2023-11-08,2026-11-08,3,"[{'date': datetime.date(2024, 6, 15), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2024, 9, 23), 'result': 'Pass', 'wear': np.float64(21.86)}, {'date': datetime.date(2025, 2, 2), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Urban Metro
QR0066,V005,Reliance Infra,LOT7209,2024-02-10,2027-02-10,2,"[{'date': datetime.date(2024, 11, 13), 'result': 'Pass', 'wear': np.float64(10.28)}, {'date': datetime.date(2024, 9, 16), 'result': 'Pass', 'wear': np.float64(25.89)}]",No,,Hilly Terrain
